2024-11-13T13:08:19.882015 - ADD: Added: Bruce Schneier, 12345
2024-11-13T13:08:19.897549 - DELETE: Deleted by phone number and person: 12345,Bruce Schneier
2024-11-13T13:08:20.213500 - ADD: Added: Bruce Schneier, (703)111-2121
2024-11-13T13:08:20.230026 - DELETE: Deleted by phone number and person: (703)111-2121,Bruce Schneier
2024-11-13T13:08:20.538422 - ADD: Added: Bruce Schneier, 123-1234
2024-11-13T13:08:20.545914 - DELETE: Deleted by phone number and person: 123-1234,Bruce Schneier
2024-11-13T13:08:21.641168 - ADD: Added: Bruce Schneier, 1(703)123-1234
2024-11-13T13:08:21.648352 - DELETE: Deleted by phone number and person: 1(703)123-1234,Bruce Schneier
2024-11-13T13:08:22.018534 - ADD: Added: Bruce Schneier, 011 701 111 1234
2024-11-13T13:08:22.036204 - DELETE: Deleted by phone number and person: 011 701 111 1234,Bruce Schneier
2024-11-13T13:08:22.375891 - ADD: Added: Bruce Schneier, 12345.12345
2024-11-13T13:08:22.391789 - DELETE: Deleted by phone number and person: 12345.12345,Bruce Schneier
2024-11-13T13:08:22.700438 - ADD: Added: Bruce Schneier, 011 1 703 111 1234
2024-11-13T13:08:22.716984 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,Bruce Schneier
2024-11-13T13:08:23.024848 - ADD: Added: Bruce Schneier, 22.22.22.22
2024-11-13T13:08:23.040542 - DELETE: Deleted by phone number and person: 22.22.22.22,Bruce Schneier
2024-11-13T13:08:23.363065 - ADD: Added: Bruce Schneier, 2222.2222
2024-11-13T13:08:23.379029 - DELETE: Deleted by phone number and person: 2222.2222,Bruce Schneier
2024-11-13T13:08:23.690076 - ADD: Added: Bruce Schneier, 111 111 1111
2024-11-13T13:08:23.706111 - DELETE: Deleted by phone number and person: 111 111 1111,Bruce Schneier
2024-11-13T13:08:24.022821 - ADD: Added: Bruce Schneier, (670)123-4567
2024-11-13T13:08:24.038601 - DELETE: Deleted by phone number and person: (670)123-4567,Bruce Schneier
2024-11-13T13:08:24.362015 - ADD: Added: Bruce Schneier, 670-123-4567
2024-11-13T13:08:24.362015 - DELETE: Deleted by phone number and person: 670-123-4567,Bruce Schneier
2024-11-13T13:08:24.698718 - ADD: Added: Bruce Schneier, 1-670-123-4567
2024-11-13T13:08:24.726565 - DELETE: Deleted by phone number and person: 1-670-123-4567,Bruce Schneier
2024-11-13T13:08:25.074938 - ADD: Added: Bruce Schneier, 1(670)123-4567
2024-11-13T13:08:25.090660 - DELETE: Deleted by phone number and person: 1(670)123-4567,Bruce Schneier
2024-11-13T13:08:25.401653 - ADD: Added: Bruce Schneier, 670 123 4567
2024-11-13T13:08:25.417647 - DELETE: Deleted by phone number and person: 670 123 4567,Bruce Schneier
2024-11-13T13:08:25.731752 - ADD: Added: Bruce Schneier, 670.123.4567
2024-11-13T13:08:25.747817 - DELETE: Deleted by phone number and person: 670.123.4567,Bruce Schneier
2024-11-13T13:08:26.056938 - ADD: Added: Bruce Schneier, 1 670 123 4567
2024-11-13T13:08:26.066446 - DELETE: Deleted by phone number and person: 1 670 123 4567,Bruce Schneier
2024-11-13T13:08:26.381512 - ADD: Added: Bruce Schneier, 1.670.123.4567
2024-11-13T13:08:26.389971 - DELETE: Deleted by phone number and person: 1.670.123.4567,Bruce Schneier
2024-11-13T13:29:13.935349 - ADD: Added: Bruce Schneier, 123-1234
2024-11-13T13:29:13.957579 - DELETE: Deleted by phone number and person: 123-1234,Bruce Schneier
2024-11-13T13:29:14.278329 - Denied due to number: Denied these input: Bruce Schneier,  1(703)111-2121
2024-11-13T13:29:14.680740 - Denied due to number: Denied these input: Bruce Schneier,  32 (21) 212-2324
2024-11-13T13:29:15.054101 - ADD: Added: Bruce Schneier, 1(703)123-1234
2024-11-13T13:29:15.072618 - DELETE: Deleted by phone number and person: 1(703)123-1234,Bruce Schneier
2024-11-13T13:29:15.389550 - ADD: Added: Bruce Schneier, 011 701 111 1234
2024-11-13T13:29:15.402673 - DELETE: Deleted by phone number and person: 011 701 111 1234,Bruce Schneier
2024-11-13T13:29:15.760514 - ADD: Added: Bruce Schneier, 12345.12345
2024-11-13T13:29:15.775709 - DELETE: Deleted by phone number and person: 12345.12345,Bruce Schneier
2024-11-13T13:29:16.092159 - ADD: Added: Bruce Schneier, 011 1 703 111 1234
2024-11-13T13:29:16.116522 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,Bruce Schneier
2024-11-13T13:29:16.425238 - ADD: Added: Bruce Schneier, 22.22.22.22
2024-11-13T13:29:16.457164 - DELETE: Deleted by phone number and person: 22.22.22.22,Bruce Schneier
2024-11-13T13:29:16.785531 - ADD: Added: Bruce Schneier, 2222.2222
2024-11-13T13:29:16.801178 - DELETE: Deleted by phone number and person: 2222.2222,Bruce Schneier
2024-11-13T13:29:17.115274 - ADD: Added: Bruce Schneier, 111 111 1111
2024-11-13T13:29:17.131132 - DELETE: Deleted by phone number and person: 111 111 1111,Bruce Schneier
2024-11-13T13:29:17.444820 - ADD: Added: Bruce Schneier, (670)123-4567
2024-11-13T13:29:17.460442 - DELETE: Deleted by phone number and person: (670)123-4567,Bruce Schneier
2024-11-13T13:29:17.793104 - ADD: Added: Bruce Schneier, 670-123-4567
2024-11-13T13:29:17.808752 - DELETE: Deleted by phone number and person: 670-123-4567,Bruce Schneier
2024-11-13T13:29:18.147194 - ADD: Added: Bruce Schneier, 1-670-123-4567
2024-11-13T13:29:18.164830 - DELETE: Deleted by phone number and person: 1-670-123-4567,Bruce Schneier
2024-11-13T13:29:18.477442 - ADD: Added: Bruce Schneier, 1(670)123-4567
2024-11-13T13:29:18.492973 - DELETE: Deleted by phone number and person: 1(670)123-4567,Bruce Schneier
2024-11-13T13:29:18.810618 - ADD: Added: Bruce Schneier, 670 123 4567
2024-11-13T13:29:18.826446 - DELETE: Deleted by phone number and person: 670 123 4567,Bruce Schneier
2024-11-13T13:29:19.141873 - ADD: Added: Bruce Schneier, 670.123.4567
2024-11-13T13:29:19.157550 - DELETE: Deleted by phone number and person: 670.123.4567,Bruce Schneier
2024-11-13T13:29:19.480886 - ADD: Added: Bruce Schneier, 1 670 123 4567
2024-11-13T13:29:19.496827 - DELETE: Deleted by phone number and person: 1 670 123 4567,Bruce Schneier
2024-11-13T13:29:19.817813 - ADD: Added: Bruce Schneier, 1.670.123.4567
2024-11-13T13:29:19.828514 - DELETE: Deleted by phone number and person: 1.670.123.4567,Bruce Schneier
2024-11-13T13:29:20.180145 - ADD: Added: Schneier, Bruce, 12345
2024-11-13T13:29:20.192663 - DELETE: Deleted by phone number and person: 12345,Schneier, Bruce
2024-11-13T13:29:20.502237 - ADD: Added: Schneier, Bruce, (703)111-2121
2024-11-13T13:29:20.524310 - DELETE: Deleted by phone number and person: (703)111-2121,Schneier, Bruce
2024-11-13T13:29:20.849850 - ADD: Added: Schneier, Bruce, 123-1234
2024-11-13T13:29:20.864864 - DELETE: Deleted by phone number and person: 123-1234,Schneier, Bruce
2024-11-13T13:29:21.182036 - Denied due to number: Denied these input: Schneier, Bruce,  1(703)111-2121
2024-11-13T13:29:21.488569 - Denied due to number: Denied these input: Schneier, Bruce,  32 (21) 212-2324
2024-11-13T13:29:21.804920 - ADD: Added: Schneier, Bruce, 1(703)123-1234
2024-11-13T13:29:21.820540 - DELETE: Deleted by phone number and person: 1(703)123-1234,Schneier, Bruce
2024-11-13T13:29:22.153263 - ADD: Added: Schneier, Bruce, 011 701 111 1234
2024-11-13T13:29:22.169158 - DELETE: Deleted by phone number and person: 011 701 111 1234,Schneier, Bruce
2024-11-13T13:29:22.513565 - ADD: Added: Schneier, Bruce, 12345.12345
2024-11-13T13:29:22.529663 - DELETE: Deleted by phone number and person: 12345.12345,Schneier, Bruce
2024-11-13T13:29:22.860845 - ADD: Added: Schneier, Bruce, 011 1 703 111 1234
2024-11-13T13:29:22.867631 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,Schneier, Bruce
2024-11-13T13:29:23.199842 - ADD: Added: Schneier, Bruce, 22.22.22.22
2024-11-13T13:29:23.215554 - DELETE: Deleted by phone number and person: 22.22.22.22,Schneier, Bruce
2024-11-13T13:29:23.547390 - ADD: Added: Schneier, Bruce, 2222.2222
2024-11-13T13:29:23.563031 - DELETE: Deleted by phone number and person: 2222.2222,Schneier, Bruce
2024-11-13T13:29:23.904946 - ADD: Added: Schneier, Bruce, 111 111 1111
2024-11-13T13:29:23.920578 - DELETE: Deleted by phone number and person: 111 111 1111,Schneier, Bruce
2024-11-13T13:29:24.244460 - ADD: Added: Schneier, Bruce, (670)123-4567
2024-11-13T13:29:24.260443 - DELETE: Deleted by phone number and person: (670)123-4567,Schneier, Bruce
2024-11-13T13:29:24.586762 - ADD: Added: Schneier, Bruce, 670-123-4567
2024-11-13T13:29:24.597093 - DELETE: Deleted by phone number and person: 670-123-4567,Schneier, Bruce
2024-11-13T13:29:24.910272 - ADD: Added: Schneier, Bruce, 1-670-123-4567
2024-11-13T13:29:24.941759 - DELETE: Deleted by phone number and person: 1-670-123-4567,Schneier, Bruce
2024-11-13T13:29:25.269512 - ADD: Added: Schneier, Bruce, 1(670)123-4567
2024-11-13T13:29:25.288145 - DELETE: Deleted by phone number and person: 1(670)123-4567,Schneier, Bruce
2024-11-13T13:29:25.600171 - ADD: Added: Schneier, Bruce, 670 123 4567
2024-11-13T13:29:25.618830 - DELETE: Deleted by phone number and person: 670 123 4567,Schneier, Bruce
2024-11-13T13:29:25.979513 - ADD: Added: Schneier, Bruce, 670.123.4567
2024-11-13T13:29:25.994042 - DELETE: Deleted by phone number and person: 670.123.4567,Schneier, Bruce
2024-11-13T13:29:26.369207 - ADD: Added: Schneier, Bruce, 1 670 123 4567
2024-11-13T13:29:26.385085 - DELETE: Deleted by phone number and person: 1 670 123 4567,Schneier, Bruce
2024-11-13T13:29:26.725908 - ADD: Added: Schneier, Bruce, 1.670.123.4567
2024-11-13T13:29:26.743563 - DELETE: Deleted by phone number and person: 1.670.123.4567,Schneier, Bruce
2024-11-13T13:29:27.049999 - ADD: Added: Schneier, Bruce Wayne, 12345
2024-11-13T13:29:27.073365 - DELETE: Deleted by phone number and person: 12345,Schneier, Bruce Wayne
2024-11-13T13:29:27.391732 - ADD: Added: Schneier, Bruce Wayne, (703)111-2121
2024-11-13T13:29:27.407818 - DELETE: Deleted by phone number and person: (703)111-2121,Schneier, Bruce Wayne
2024-11-13T13:29:27.722763 - ADD: Added: Schneier, Bruce Wayne, 123-1234
2024-11-13T13:29:27.742539 - DELETE: Deleted by phone number and person: 123-1234,Schneier, Bruce Wayne
2024-11-13T13:29:28.074750 - Denied due to number: Denied these input: Schneier, Bruce Wayne,  1(703)111-2121
2024-11-13T13:29:28.386984 - Denied due to number: Denied these input: Schneier, Bruce Wayne,  32 (21) 212-2324
2024-11-13T13:29:28.719400 - ADD: Added: Schneier, Bruce Wayne, 1(703)123-1234
2024-11-13T13:29:28.737105 - DELETE: Deleted by phone number and person: 1(703)123-1234,Schneier, Bruce Wayne
2024-11-13T13:29:29.072586 - ADD: Added: Schneier, Bruce Wayne, 011 701 111 1234
2024-11-13T13:29:29.091292 - DELETE: Deleted by phone number and person: 011 701 111 1234,Schneier, Bruce Wayne
2024-11-13T13:29:29.414844 - ADD: Added: Schneier, Bruce Wayne, 12345.12345
2024-11-13T13:29:29.430489 - DELETE: Deleted by phone number and person: 12345.12345,Schneier, Bruce Wayne
2024-11-13T13:29:29.786445 - ADD: Added: Schneier, Bruce Wayne, 011 1 703 111 1234
2024-11-13T13:29:29.802649 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,Schneier, Bruce Wayne
2024-11-13T13:29:30.118275 - ADD: Added: Schneier, Bruce Wayne, 22.22.22.22
2024-11-13T13:29:30.133930 - DELETE: Deleted by phone number and person: 22.22.22.22,Schneier, Bruce Wayne
2024-11-13T13:29:30.464661 - ADD: Added: Schneier, Bruce Wayne, 2222.2222
2024-11-13T13:29:30.465912 - DELETE: Deleted by phone number and person: 2222.2222,Schneier, Bruce Wayne
2024-11-13T13:29:30.811662 - ADD: Added: Schneier, Bruce Wayne, 111 111 1111
2024-11-13T13:29:30.827276 - DELETE: Deleted by phone number and person: 111 111 1111,Schneier, Bruce Wayne
2024-11-13T13:29:31.166937 - ADD: Added: Schneier, Bruce Wayne, (670)123-4567
2024-11-13T13:29:31.180545 - DELETE: Deleted by phone number and person: (670)123-4567,Schneier, Bruce Wayne
2024-11-13T13:29:31.513013 - ADD: Added: Schneier, Bruce Wayne, 670-123-4567
2024-11-13T13:29:31.528508 - DELETE: Deleted by phone number and person: 670-123-4567,Schneier, Bruce Wayne
2024-11-13T13:29:31.860223 - ADD: Added: Schneier, Bruce Wayne, 1-670-123-4567
2024-11-13T13:29:31.876178 - DELETE: Deleted by phone number and person: 1-670-123-4567,Schneier, Bruce Wayne
2024-11-13T13:29:32.214188 - ADD: Added: Schneier, Bruce Wayne, 1(670)123-4567
2024-11-13T13:29:32.245754 - DELETE: Deleted by phone number and person: 1(670)123-4567,Schneier, Bruce Wayne
2024-11-13T13:29:32.570992 - ADD: Added: Schneier, Bruce Wayne, 670 123 4567
2024-11-13T13:29:32.597814 - DELETE: Deleted by phone number and person: 670 123 4567,Schneier, Bruce Wayne
2024-11-13T13:29:32.934523 - ADD: Added: Schneier, Bruce Wayne, 670.123.4567
2024-11-13T13:29:32.953943 - DELETE: Deleted by phone number and person: 670.123.4567,Schneier, Bruce Wayne
2024-11-13T13:29:33.272306 - ADD: Added: Schneier, Bruce Wayne, 1 670 123 4567
2024-11-13T13:29:33.305039 - DELETE: Deleted by phone number and person: 1 670 123 4567,Schneier, Bruce Wayne
2024-11-13T13:29:33.640966 - ADD: Added: Schneier, Bruce Wayne, 1.670.123.4567
2024-11-13T13:29:33.653066 - DELETE: Deleted by phone number and person: 1.670.123.4567,Schneier, Bruce Wayne
2024-11-13T13:29:34.000597 - ADD: Added: O’Malley, John F., 12345
2024-11-13T13:29:34.015882 - DELETE: Deleted by phone number and person: 12345,O’Malley, John F.
2024-11-13T13:29:34.354705 - ADD: Added: O’Malley, John F., (703)111-2121
2024-11-13T13:29:34.370689 - DELETE: Deleted by phone number and person: (703)111-2121,O’Malley, John F.
2024-11-13T13:29:34.703970 - ADD: Added: O’Malley, John F., 123-1234
2024-11-13T13:29:34.703970 - DELETE: Deleted by phone number and person: 123-1234,O’Malley, John F.
2024-11-13T13:29:35.020566 - Denied due to number: Denied these input: O’Malley, John F.,  1(703)111-2121
2024-11-13T13:29:35.328955 - Denied due to number: Denied these input: O’Malley, John F.,  32 (21) 212-2324
2024-11-13T13:29:35.727544 - ADD: Added: O’Malley, John F., 1(703)123-1234
2024-11-13T13:29:35.741053 - DELETE: Deleted by phone number and person: 1(703)123-1234,O’Malley, John F.
2024-11-13T13:29:36.050183 - ADD: Added: O’Malley, John F., 011 701 111 1234
2024-11-13T13:29:36.065823 - DELETE: Deleted by phone number and person: 011 701 111 1234,O’Malley, John F.
2024-11-13T13:29:36.379100 - ADD: Added: O’Malley, John F., 12345.12345
2024-11-13T13:29:36.395480 - DELETE: Deleted by phone number and person: 12345.12345,O’Malley, John F.
2024-11-13T13:29:36.739440 - ADD: Added: O’Malley, John F., 011 1 703 111 1234
2024-11-13T13:29:36.762557 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,O’Malley, John F.
2024-11-13T13:29:37.086077 - ADD: Added: O’Malley, John F., 22.22.22.22
2024-11-13T13:29:37.101978 - DELETE: Deleted by phone number and person: 22.22.22.22,O’Malley, John F.
2024-11-13T13:29:37.418556 - ADD: Added: O’Malley, John F., 2222.2222
2024-11-13T13:29:37.434359 - DELETE: Deleted by phone number and person: 2222.2222,O’Malley, John F.
2024-11-13T13:29:37.762373 - ADD: Added: O’Malley, John F., 111 111 1111
2024-11-13T13:29:37.780173 - DELETE: Deleted by phone number and person: 111 111 1111,O’Malley, John F.
2024-11-13T13:29:38.106648 - ADD: Added: O’Malley, John F., (670)123-4567
2024-11-13T13:29:38.123731 - DELETE: Deleted by phone number and person: (670)123-4567,O’Malley, John F.
2024-11-13T13:29:38.466357 - ADD: Added: O’Malley, John F., 670-123-4567
2024-11-13T13:29:38.482521 - DELETE: Deleted by phone number and person: 670-123-4567,O’Malley, John F.
2024-11-13T13:29:38.821739 - ADD: Added: O’Malley, John F., 1-670-123-4567
2024-11-13T13:29:38.838451 - DELETE: Deleted by phone number and person: 1-670-123-4567,O’Malley, John F.
2024-11-13T13:29:39.167931 - ADD: Added: O’Malley, John F., 1(670)123-4567
2024-11-13T13:29:39.183732 - DELETE: Deleted by phone number and person: 1(670)123-4567,O’Malley, John F.
2024-11-13T13:29:39.499476 - ADD: Added: O’Malley, John F., 670 123 4567
2024-11-13T13:29:39.514270 - DELETE: Deleted by phone number and person: 670 123 4567,O’Malley, John F.
2024-11-13T13:29:39.843307 - ADD: Added: O’Malley, John F., 670.123.4567
2024-11-13T13:29:39.859383 - DELETE: Deleted by phone number and person: 670.123.4567,O’Malley, John F.
2024-11-13T13:29:40.208461 - ADD: Added: O’Malley, John F., 1 670 123 4567
2024-11-13T13:29:40.224498 - DELETE: Deleted by phone number and person: 1 670 123 4567,O’Malley, John F.
2024-11-13T13:29:40.554909 - ADD: Added: O’Malley, John F., 1.670.123.4567
2024-11-13T13:29:40.570970 - DELETE: Deleted by phone number and person: 1.670.123.4567,O’Malley, John F.
2024-11-13T13:29:40.902180 - ADD: Added: John O’Malley-Smith, 12345
2024-11-13T13:29:40.918136 - DELETE: Deleted by phone number and person: 12345,John O’Malley-Smith
2024-11-13T13:29:41.240977 - ADD: Added: John O’Malley-Smith, (703)111-2121
2024-11-13T13:29:41.256813 - DELETE: Deleted by phone number and person: (703)111-2121,John O’Malley-Smith
2024-11-13T13:29:41.572097 - ADD: Added: John O’Malley-Smith, 123-1234
2024-11-13T13:29:41.593279 - DELETE: Deleted by phone number and person: 123-1234,John O’Malley-Smith
2024-11-13T13:29:41.927404 - Denied due to number: Denied these input: John O’Malley-Smith,  1(703)111-2121
2024-11-13T13:29:42.259174 - Denied due to number: Denied these input: John O’Malley-Smith,  32 (21) 212-2324
2024-11-13T13:29:42.601456 - ADD: Added: John O’Malley-Smith, 1(703)123-1234
2024-11-13T13:29:42.617501 - DELETE: Deleted by phone number and person: 1(703)123-1234,John O’Malley-Smith
2024-11-13T13:29:42.958760 - ADD: Added: John O’Malley-Smith, 011 701 111 1234
2024-11-13T13:29:42.965797 - DELETE: Deleted by phone number and person: 011 701 111 1234,John O’Malley-Smith
2024-11-13T13:29:43.290752 - ADD: Added: John O’Malley-Smith, 12345.12345
2024-11-13T13:29:43.313494 - DELETE: Deleted by phone number and person: 12345.12345,John O’Malley-Smith
2024-11-13T13:29:43.636251 - ADD: Added: John O’Malley-Smith, 011 1 703 111 1234
2024-11-13T13:29:43.652292 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,John O’Malley-Smith
2024-11-13T13:29:44.000167 - ADD: Added: John O’Malley-Smith, 22.22.22.22
2024-11-13T13:29:44.016127 - DELETE: Deleted by phone number and person: 22.22.22.22,John O’Malley-Smith
2024-11-13T13:29:44.327586 - ADD: Added: John O’Malley-Smith, 2222.2222
2024-11-13T13:29:44.346945 - DELETE: Deleted by phone number and person: 2222.2222,John O’Malley-Smith
2024-11-13T13:29:44.672591 - ADD: Added: John O’Malley-Smith, 111 111 1111
2024-11-13T13:29:44.706162 - DELETE: Deleted by phone number and person: 111 111 1111,John O’Malley-Smith
2024-11-13T13:29:45.019948 - ADD: Added: John O’Malley-Smith, (670)123-4567
2024-11-13T13:29:45.035610 - DELETE: Deleted by phone number and person: (670)123-4567,John O’Malley-Smith
2024-11-13T13:29:45.366470 - ADD: Added: John O’Malley-Smith, 670-123-4567
2024-11-13T13:29:45.382609 - DELETE: Deleted by phone number and person: 670-123-4567,John O’Malley-Smith
2024-11-13T13:29:45.696908 - ADD: Added: John O’Malley-Smith, 1-670-123-4567
2024-11-13T13:29:45.718854 - DELETE: Deleted by phone number and person: 1-670-123-4567,John O’Malley-Smith
2024-11-13T13:29:46.045218 - ADD: Added: John O’Malley-Smith, 1(670)123-4567
2024-11-13T13:29:46.060755 - DELETE: Deleted by phone number and person: 1(670)123-4567,John O’Malley-Smith
2024-11-13T13:29:46.423477 - ADD: Added: John O’Malley-Smith, 670 123 4567
2024-11-13T13:29:46.439600 - DELETE: Deleted by phone number and person: 670 123 4567,John O’Malley-Smith
2024-11-13T13:29:46.770445 - ADD: Added: John O’Malley-Smith, 670.123.4567
2024-11-13T13:29:46.790567 - DELETE: Deleted by phone number and person: 670.123.4567,John O’Malley-Smith
2024-11-13T13:29:47.127847 - ADD: Added: John O’Malley-Smith, 1 670 123 4567
2024-11-13T13:29:47.144345 - DELETE: Deleted by phone number and person: 1 670 123 4567,John O’Malley-Smith
2024-11-13T13:29:47.460284 - ADD: Added: John O’Malley-Smith, 1.670.123.4567
2024-11-13T13:29:47.491534 - DELETE: Deleted by phone number and person: 1.670.123.4567,John O’Malley-Smith
2024-11-13T13:29:47.807227 - ADD: Added: Cher, 12345
2024-11-13T13:29:47.823277 - DELETE: Deleted by phone number and person: 12345,Cher
2024-11-13T13:29:48.152852 - ADD: Added: Cher, (703)111-2121
2024-11-13T13:29:48.158959 - DELETE: Deleted by phone number and person: (703)111-2121,Cher
2024-11-13T13:29:48.499430 - ADD: Added: Cher, 123-1234
2024-11-13T13:29:48.515316 - DELETE: Deleted by phone number and person: 123-1234,Cher
2024-11-13T13:29:48.828763 - Denied due to number: Denied these input: Cher,  1(703)111-2121
2024-11-13T13:29:49.163856 - Denied due to number: Denied these input: Cher,  32 (21) 212-2324
2024-11-13T13:29:49.511344 - ADD: Added: Cher, 1(703)123-1234
2024-11-13T13:29:49.527354 - DELETE: Deleted by phone number and person: 1(703)123-1234,Cher
2024-11-13T13:29:49.853575 - ADD: Added: Cher, 011 701 111 1234
2024-11-13T13:29:49.860091 - DELETE: Deleted by phone number and person: 011 701 111 1234,Cher
2024-11-13T13:29:50.187335 - ADD: Added: Cher, 12345.12345
2024-11-13T13:29:50.195041 - DELETE: Deleted by phone number and person: 12345.12345,Cher
2024-11-13T13:29:50.517402 - ADD: Added: Cher, 011 1 703 111 1234
2024-11-13T13:29:50.538282 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,Cher
2024-11-13T13:29:50.875243 - ADD: Added: Cher, 22.22.22.22
2024-11-13T13:29:50.890859 - DELETE: Deleted by phone number and person: 22.22.22.22,Cher
2024-11-13T13:29:51.227019 - ADD: Added: Cher, 2222.2222
2024-11-13T13:29:51.234526 - DELETE: Deleted by phone number and person: 2222.2222,Cher
2024-11-13T13:29:51.566258 - ADD: Added: Cher, 111 111 1111
2024-11-13T13:29:51.582322 - DELETE: Deleted by phone number and person: 111 111 1111,Cher
2024-11-13T13:29:51.912721 - ADD: Added: Cher, (670)123-4567
2024-11-13T13:29:51.928181 - DELETE: Deleted by phone number and person: (670)123-4567,Cher
2024-11-13T13:29:52.252875 - ADD: Added: Cher, 670-123-4567
2024-11-13T13:29:52.268632 - DELETE: Deleted by phone number and person: 670-123-4567,Cher
2024-11-13T13:29:52.583157 - ADD: Added: Cher, 1-670-123-4567
2024-11-13T13:29:52.614723 - DELETE: Deleted by phone number and person: 1-670-123-4567,Cher
2024-11-13T13:29:52.930336 - ADD: Added: Cher, 1(670)123-4567
2024-11-13T13:29:52.960993 - DELETE: Deleted by phone number and person: 1(670)123-4567,Cher
2024-11-13T13:29:53.294927 - ADD: Added: Cher, 670 123 4567
2024-11-13T13:29:53.315594 - DELETE: Deleted by phone number and person: 670 123 4567,Cher
2024-11-13T13:29:53.632045 - ADD: Added: Cher, 670.123.4567
2024-11-13T13:29:53.646864 - DELETE: Deleted by phone number and person: 670.123.4567,Cher
2024-11-13T13:29:53.978238 - ADD: Added: Cher, 1 670 123 4567
2024-11-13T13:29:53.994019 - DELETE: Deleted by phone number and person: 1 670 123 4567,Cher
2024-11-13T13:29:54.354951 - ADD: Added: Cher, 1.670.123.4567
2024-11-13T13:29:54.370993 - DELETE: Deleted by phone number and person: 1.670.123.4567,Cher
2024-11-13T13:29:54.670120 - Denied due to name: Denied these input: Ron O’’Henry, 123
2024-11-13T13:29:54.978283 - Denied due to name: Denied these input: Ron O’’Henry, 1/703/123/1234
2024-11-13T13:29:55.287601 - Denied due to name: Denied these input: Ron O’’Henry, Nr 102-123-1234
2024-11-13T13:29:55.667114 - Denied due to name: Denied these input: Ron O’’Henry, <script>alert("XSS")</script>
2024-11-13T13:29:55.979007 - Denied due to name: Denied these input: Ron O’’Henry, 7031111234
2024-11-13T13:29:56.294508 - Denied due to name: Denied these input: Ron O’’Henry,  1234 (201) 123-1234
2024-11-13T13:29:56.586657 - Denied due to name: Denied these input: Ron O’’Henry, (001) 123-1234
2024-11-13T13:29:56.908165 - Denied due to name: Denied these input: Ron O’’Henry,  01 (703) 123-1234
2024-11-13T13:29:57.237056 - Denied due to name: Denied these input: Ron O’’Henry, (703) 123-1234 ext 204
2024-11-13T13:29:57.537750 - Denied due to name: Denied these input: Ron O’’Henry, select * from users;
2024-11-13T13:29:57.861051 - Denied due to name: Denied these input: Ron O’Henry-Smith-Barnes, 123
2024-11-13T13:29:58.174519 - Denied due to name: Denied these input: Ron O’Henry-Smith-Barnes, 1/703/123/1234
2024-11-13T13:29:58.492974 - Denied due to name: Denied these input: Ron O’Henry-Smith-Barnes, Nr 102-123-1234
2024-11-13T13:29:58.797054 - Denied due to name: Denied these input: Ron O’Henry-Smith-Barnes, <script>alert("XSS")</script>
2024-11-13T13:29:59.098384 - Denied due to name: Denied these input: Ron O’Henry-Smith-Barnes, 7031111234
2024-11-13T13:29:59.403910 - Denied due to name: Denied these input: Ron O’Henry-Smith-Barnes,  1234 (201) 123-1234
2024-11-13T13:29:59.722230 - Denied due to name: Denied these input: Ron O’Henry-Smith-Barnes, (001) 123-1234
2024-11-13T13:30:00.042593 - Denied due to name: Denied these input: Ron O’Henry-Smith-Barnes,  01 (703) 123-1234
2024-11-13T13:30:00.349733 - Denied due to name: Denied these input: Ron O’Henry-Smith-Barnes, (703) 123-1234 ext 204
2024-11-13T13:30:00.660658 - Denied due to name: Denied these input: Ron O’Henry-Smith-Barnes, select * from users;
2024-11-13T13:30:00.961882 - Denied due to name: Denied these input: L33t Hacker, 123
2024-11-13T13:30:01.273766 - Denied due to name: Denied these input: L33t Hacker, 1/703/123/1234
2024-11-13T13:30:01.574201 - Denied due to name: Denied these input: L33t Hacker, Nr 102-123-1234
2024-11-13T13:30:01.878265 - Denied due to name: Denied these input: L33t Hacker, <script>alert("XSS")</script>
2024-11-13T13:30:02.205755 - Denied due to name: Denied these input: L33t Hacker, 7031111234
2024-11-13T13:30:02.504441 - Denied due to name: Denied these input: L33t Hacker,  1234 (201) 123-1234
2024-11-13T13:30:02.814586 - Denied due to name: Denied these input: L33t Hacker, (001) 123-1234
2024-11-13T13:30:03.177368 - Denied due to name: Denied these input: L33t Hacker,  01 (703) 123-1234
2024-11-13T13:30:03.487365 - Denied due to name: Denied these input: L33t Hacker, (703) 123-1234 ext 204
2024-11-13T13:30:03.800701 - Denied due to name: Denied these input: L33t Hacker, select * from users;
2024-11-13T13:30:04.129784 - Denied due to name: Denied these input: <script>alert("XSS")</script>, 123
2024-11-13T13:30:04.458230 - Denied due to name: Denied these input: <script>alert("XSS")</script>, 1/703/123/1234
2024-11-13T13:30:04.844251 - Denied due to name: Denied these input: <script>alert("XSS")</script>, Nr 102-123-1234
2024-11-13T13:30:05.222131 - Denied due to name: Denied these input: <script>alert("XSS")</script>, <script>alert("XSS")</script>
2024-11-13T13:30:05.533500 - Denied due to name: Denied these input: <script>alert("XSS")</script>, 7031111234
